Ticker,Ticker_B3,Codigo_Emissor,CD_CVM,CNPJ_CIA,DENOM_CIA,Nome_Pregao,Setor,Subsetor,Segmento_Setorial,Segmento_Listagem,Eh_Estatal,Participacao_Indice,Segmento_Novo_Mercado,Segmento_Nivel_1,Segmento_Nivel_2,Segmento_Bovespa_Mais,Segmento_Bovespa_Mais_Nivel_2,Segmento_Tradicional
LJQQ3.SA,LJQQ3,LJQQ,25038,96418264021802,LOJAS QUERO-QUERO S/A,QUERO-QUERO,Consumo Cíclico,Comércio,Produtos Diversos,Novo Mercado,0,"0,014",1,0,0,0,0,0
LOGG3.SA,LOGG3,LOGG,23272,9041168000110,LOG COMMERCIAL PROPERTIES,LOG COM PROP,Financeiro,Exploração de Imóveis,Exploração de Imóveis,Novo Mercado,0,"0,045",1,0,0,0,0,0
LREN3.SA,LREN3,LREN,8133,92754738000162,LOJAS RENNER S.A.,LOJAS RENNER,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",Novo Mercado,0,"0,476",1,0,0,0,0,0
LWSA3.SA,LWSA3,LWSA,24910,2351877000152,LWSA S.A.,LWSA,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,Novo Mercado,0,"0,051",1,0,0,0,0,0
MBRF3.SA,MBRF3,MBRF,20788,3853896000140,MARFRIG GLOBAL FOODS S.A.,MARFRIG,Nao Classificado,Carnes e Derivados,Nao Classificado,Novo Mercado,0,"0,481",1,0,0,0,0,0
MDIA3.SA,MDIA3,MDIA,20338,7206816000115,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,M.DIASBRANCO,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,Novo Mercado,0,"0,049",1,0,0,0,0,0
MDNE3.SA,MDNE3,MDNE,21067,12049631000184,MOURA DUBEUX ENGENHARIA S/A,MOURA DUBEUX,Consumo Cíclico,Construção Civil,Incorporações,Novo Mercado,0,"0,066",1,0,0,0,0,0
MGLU3.SA,MGLU3,MGLU,22470,47960950000121,MAGAZINE LUIZA S.A.,MAGAZ LUIZA,Consumo Cíclico,Comércio,Eletrodomésticos,Novo Mercado,0,"0,112",1,0,0,0,0,0
MILS3.SA,MILS3,MILS,22012,27093558000115,MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A,MILLS,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Novo Mercado,0,"0,048",1,0,0,0,0,0
MOTV3.SA,MOTV3,MOTV,18821,2846056000197,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,MOTIVA SA,Nao Classificado,Exploração de Rodovias,Nao Classificado,Novo Mercado,0,"0,558",1,0,0,0,0,0
MOVI3.SA,MOVI3,MOVI,23825,21314559000166,MOVIDA PARTICIPACOES SA,MOVIDA,Consumo Cíclico,Diversos,Aluguel de carros,Novo Mercado,0,"0,067",1,0,0,0,0,0
MRVE3.SA,MRVE3,MRVE,20915,8343492000120,MRV ENGENHARIA E PARTICIPACOES S.A.,MRV,Consumo Cíclico,Construção Civil,Incorporações,Novo Mercado,0,"0,092",1,0,0,0,0,0
MULT3.SA,MULT3,MULT,20982,7816890000153,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULTIPLAN,Financeiro,Exploração de Imóveis,Exploração de Imóveis,Nivel 2,0,"0,353",0,0,1,0,0,0
MYPK3.SA,MYPK3,MYPK,11932,61156113000175,IOCHPE MAXION S.A.,IOCHP-MAXION,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,Novo Mercado,0,"0,047",1,0,0,0,0,0
NATU3.SA,NATU3,NATU,19550,71673990000177,NATURA COSMETICOS S.A.,NATURA,Nao Classificado,Produtos de Uso Pessoal,Nao Classificado,Novo Mercado,0,"0,273",1,0,0,0,0,0
ODPV3.SA,ODPV3,ODPV,20125,58119199000151,ODONTOPREV S.A.,ODONTOPREV,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",Novo Mercado,0,"0,126",1,0,0,0,0,0
ONCO3.SA,ONCO3,ONCO,26123,12104241000402,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,ONCOCLINICAS,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",Novo Mercado,0,"0,058",1,0,0,0,0,0
ORVR3.SA,ORVR3,ORVR,25550,11421994000136,ORIZON VALORIZACAO DE RESIDUOS S.A.,ORIZON,Utilidade Pública,Água e Saneamento,Água e Saneamento,Novo Mercado,0,"0,145",1,0,0,0,0,0
PETR3.SA,PETR3,PETR,9512,33000167000101,PETROLEO BRASILEIRO S.A. PETROBRAS,PETROBRAS,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Nivel 2,1,"5,764",0,0,1,0,0,0
PETR4.SA,PETR4,PETR,9512,33000167000101,PETROLEO BRASILEIRO S.A. PETROBRAS,PETROBRAS,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Nivel 2,1,"6,642",0,0,1,0,0,0
PGMN3.SA,PGMN3,PGMN,22608,6626253000151,EMPREENDIMENTOS PAGUE MENOS S.A.,PAGUE MENOS,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,Novo Mercado,0,"0,050",1,0,0,0,0,0
PLPL3.SA,PLPL3,PLPL,25070,24230275000180,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLANOEPLANO,Consumo Cíclico,Construção Civil,Incorporações,Novo Mercado,0,"0,023",1,0,0,0,0,0
PNVL3.SA,PNVL3,PNVL,9342,92665611000177,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,DIMED,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,Novo Mercado,0,"0,033",1,0,0,0,0,0
POMO4.SA,POMO4,POMO,8451,88611835000129,MARCOPOLO S.A.,MARCOPOLO,Bens Industriais,Material de Transporte,Material Rodoviário,Nivel 2,0,"0,165",0,0,1,0,0,0
POSI3.SA,POSI3,POSI,20362,81243735000148,POSITIVO TECNOLOGIA S.A.,POSITIVO TEC,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,Novo Mercado,0,"0,011",1,0,0,0,0,0
PRIO3.SA,PRIO3,PRIO,22187,10629105000168,PRIO S.A.,PRIO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Novo Mercado,0,"1,504",1,0,0,0,0,0
PRNR3.SA,PRNR3,PRNR,24236,18593815000197,PRINER SERVIÇOS INDUSTRIAIS S.A.,PRINER,Bens Industriais,Serviços Diversos,Serviços Diversos,Novo Mercado,0,"0,038",1,0,0,0,0,0
PSSA3.SA,PSSA3,PSSA,16659,2149205000169,PORTO SEGURO S.A.,PORTO SEGURO,Financeiro,Previdência e Seguros,Seguradoras,Novo Mercado,0,"0,321",1,0,0,0,0,0
QUAL3.SA,QUAL3,QUAL,22497,11992680000193,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUALICORP,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",Novo Mercado,0,"0,018",1,0,0,0,0,0
RADL3.SA,RADL3,RADL,5258,61585865000151,RAIA DROGASIL S.A.,RAIADROGASIL,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,Novo Mercado,0,"0,981",1,0,0,0,0,0
RAIL3.SA,RAIL3,RAIL,17450,2387241000160,RUMO S.A.,RUMO S.A.,Bens Industriais,Transporte,Transporte Ferroviário,Novo Mercado,0,"0,644",1,0,0,0,0,0
RANI3.SA,RANI3,RANI,2429,92791243000103,IRANI PAPEL E EMBALAGEM S.A.,IRANI,Materiais Básicos,Embalagens,Embalagens,Novo Mercado,0,"0,028",1,0,0,0,0,0
RAPT4.SA,RAPT4,RAPT,14109,89086144000116,RANDONCORP S.A.,RANDON PART,Bens Industriais,Material de Transporte,Material Rodoviário,Nivel 1,0,"0,032",0,1,0,0,0,0
RCSL3.SA,RCSL3,RCSL,12572,91333666000117,RECRUSUL S.A.,RECRUSUL,Bens Industriais,Material de Transporte,Material Rodoviário,Tradicional,0,"0,000",0,0,0,0,0,1
RCSL4.SA,RCSL4,RCSL,12572,91333666000117,RECRUSUL S.A.,RECRUSUL,Bens Industriais,Material de Transporte,Material Rodoviário,Tradicional,0,"0,001",0,0,0,0,0,1
