Base,Modelo,Acurácia,ROC-AUC,Precision Classe 1,Recall Classe 1,F1 Classe 1,Ano_Corte,Observacoes_Treino,Observacoes_Teste,Features_Selecionadas
Base Principal,Regressão Logística,0.724233983286908,0.8406093379055657,0.5920398009950248,0.875,0.7062314540059347,2022,1043,359,13
Base Principal,Deep Learning (MLP),0.7771587743732591,0.8273542600896862,0.6891891891891891,0.75,0.7183098591549296,2022,1043,359,13
Base Principal,XGBoost,0.7771587743732591,0.8114283830123978,0.6818181818181818,0.7720588235294118,0.7241379310344828,2022,1043,359,13
Base Principal,Random Forest,0.7381615598885793,0.7816868900026379,0.6381578947368421,0.7132352941176471,0.6736111111111112,2022,1043,359,13
